"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MMP23B",0,0.771686692557619,0.694,0.439,0
"RER1",0,0.438528864111742,0.643,0.476,0
"RPL22",0,-0.39224901036276,0.911,0.959,0
"KLHL21",0,-0.427364509729417,0.128,0.251,0
"PER3",0,-0.412864987689404,0.168,0.287,0
"ERRFI1",0,-0.705293173096315,0.11,0.332,0
"ENO1",0,0.414656715272202,0.688,0.604,0
"SPSB1",0,-0.545879445474225,0.125,0.275,0
"SRM",0,0.485283247850496,0.553,0.335,0
"PLOD1",0,0.661026395493017,0.549,0.23,0
"MFAP2",0,1.26649372009453,0.732,0.378,0
"CAPZB",0,0.747217702919296,0.719,0.549,0
"NBL1",0,0.824246615868331,0.808,0.617,0
"PLA2G2A",0,-2.48954292346232,0.054,0.27,0
"ID3",0,-0.903021745378964,0.689,0.757,0
"RPL11",0,-0.263549113333771,0.985,0.993,0
"PNRC2",0,-0.453337393219025,0.413,0.507,0
"SYF2",0,-0.445308917885659,0.402,0.48,0
"RSRP1",0,-0.882233764199026,0.484,0.668,0
"COL16A1",0,1.22747667611339,0.693,0.347,0
"COL8A2",0,0.305764765354696,0.3,0.139,0
"ZC3H12A",0,-0.650944779020949,0.117,0.335,0
"C1orf122",0,0.596778154788866,0.639,0.413,0
"P3H1",0,0.596200372236907,0.583,0.282,0
"MED8",0,0.428821509543478,0.419,0.16,0
"ATP6V0B",0,0.632797738607913,0.636,0.425,0
"B4GALT2",0,0.434333978665787,0.468,0.187,0
"GPX7",0,0.758156503286513,0.559,0.211,0
"PLPP3",0,-1.95496402330575,0.33,0.743,0
"JUN",0,-0.60686618184787,0.856,0.883,0
"NFIA",0,-1.43204004913925,0.249,0.622,0
"PGM1",0,0.308449643263215,0.397,0.183,0
"GADD45A",0,-0.993101092252651,0.367,0.55,0
"NEGR1",0,-0.839433011528959,0.083,0.385,0
"PTGFR",0,-0.569720285869073,0.142,0.331,0
"CYR61",0,-0.870240195772205,0.326,0.622,0
"GBP1",0,0.364444559346762,0.344,0.139,0
"TGFBR3",0,-0.752218479685113,0.179,0.408,0
"CNN3",0,0.63037290846766,0.755,0.619,0
"COL11A1",0,2.17092743319503,0.566,0.035,0
"GSTM5",0,-0.580789697353917,0.036,0.257,0
"GSTM3",0,-0.733922784062373,0.334,0.547,0
"CSF1",0,-0.660185186836728,0.065,0.326,0
"RHOC",0,0.543979739303466,0.646,0.508,0
"OLFML3",0,0.457913074571872,0.757,0.639,0
"ATP1A1",0,-0.47452255266774,0.441,0.514,0
"PTGFRN",0,0.263141774223329,0.473,0.269,0
"ANKRD35",0,-0.335849793594319,0.101,0.252,0
"TXNIP",0,-1.16366316247677,0.561,0.713,0
"PLEKHO1",0,0.336103181048321,0.388,0.16,0
"MCL1",0,-0.555334590883918,0.534,0.645,0
"CTSS",0,-0.377654226885473,0.12,0.255,0
"S100A10",0,-0.448250181234657,0.941,0.97,0
"S100A11",0,0.412843356580661,0.93,0.91,0
"S100A16",0,0.514844001366666,0.61,0.426,0
"JTB",0,0.470594008675947,0.725,0.599,0
"RPS27",0,-0.730572941222047,0.936,0.987,0
"CKS1B",0,-0.446298996122198,0.207,0.356,0
"SSR2",0,0.345393521545053,0.76,0.726,0
"LMNA",0,-0.467006999667167,0.827,0.884,0
"CRABP2",0,0.545157376793683,0.759,0.618,0
"COPA",0,0.344165084259822,0.535,0.324,0
"OLFML2B",0,1.00153412629336,0.667,0.364,0
"UAP1",0,-0.799306783849052,0.389,0.493,0
"MGST3",0,0.646757550077086,0.876,0.802,0
"DPT",0,0.747456094650212,0.879,0.741,0
"ATP1B1",0,0.421854996738927,0.297,0.074,0
"DNM3OS",0,0.699062215703878,0.498,0.172,0
"RASAL2",0,0.40786274710681,0.392,0.132,0
"ANGPTL1",0,-0.798253677576322,0.315,0.565,0
"GLUL",0,-1.22214840854231,0.254,0.587,0
"RGS16",0,-1.34564880224923,0.23,0.462,0
"C1orf21",0,-0.465096403673638,0.248,0.361,0
"HMCN1",0,0.938326823808282,0.623,0.26,0
"RGS2",0,-0.552894144532613,0.171,0.303,0
"CFH",0,-1.90016158649494,0.63,0.857,0
"NEK7",0,0.297309942335321,0.357,0.178,0
"NAV1",0,0.35704610567057,0.462,0.258,0
"BTG2",0,-0.914403127150498,0.149,0.455,0
"PRELP",0,-0.657978548173446,0.27,0.49,0
"PPP1R15B",0,-0.708696449153985,0.248,0.412,0
"CD34",0,-0.877465192422563,0.059,0.35,0
"ATF3",0,-0.947572010513725,0.355,0.605,0
"PTPN14",0,0.262304246940051,0.311,0.104,0
"ENAH",0,1.03250491337601,0.699,0.385,0
"EPHX1",0,-0.657936021225259,0.36,0.498,0
"GUK1",0,0.533727989646551,0.79,0.691,0
"GALNT2",0,0.323840487805617,0.383,0.163,0
"IRF2BP2",0,-0.529117940473591,0.38,0.476,0
"HNRNPU",0,-0.588534624137152,0.622,0.706,0
"KIF26B",0,0.437489728504608,0.287,0.021,0
"SMYD3",0,0.621987244006722,0.384,0.106,0
"PXDN",0,0.558402859865665,0.488,0.192,0
"RNF144A",0,0.30629765827223,0.313,0.091,0
"ID2",0,-1.19835516432727,0.357,0.585,0
"SDC1",0,1.17112558540575,0.521,0.048,0
"RHOB",0,-0.707135589834156,0.355,0.501,0
"OST4",0,0.832791824770293,0.871,0.78,0
"EMILIN1",0,0.482146987453502,0.615,0.43,0
"BABAM2",0,0.466270409296907,0.424,0.174,0
"LTBP1",0,-0.739992980871496,0.373,0.508,0
"FAM98A",0,0.282605205192801,0.355,0.151,0
"VIT",0,-0.650488221102829,0.014,0.26,0
"CYP1B1",0,-1.02319557398499,0.143,0.345,0
"ZFP36L2",0,-2.02724406115707,0.464,0.863,0
"PLEKHH2",0,-0.704404487707162,0.243,0.368,0
"ERLEC1",0,0.512045942752654,0.635,0.416,0
"SPTBN1",0,-1.30013404305527,0.378,0.675,0
"RTN4",0,-0.516520661108675,0.682,0.764,0
"RPS27A",0,-0.333334600301986,0.973,0.988,0
"EFEMP1",0,-1.33990404527644,0.357,0.648,0
"REL",0,-0.903885110596334,0.201,0.419,0
"ACTR2",0,0.371150657347699,0.618,0.455,0
"ANTXR1",0,0.533624420101839,0.629,0.434,0
"NAGK",0,0.414406056986448,0.48,0.231,0
"PRADC1",0,0.26704490430065,0.321,0.136,0
"TMSB10",0,0.269331657846092,0.988,0.992,0
"MAT2A",0,-0.660602019129161,0.272,0.391,0
"CYTOR",0,0.436760344593208,0.532,0.305,0
"RPL31",0,-0.665983024982737,0.787,0.862,0
"MAP4K4",0,0.393358896894778,0.55,0.331,0
"FHL2",0,0.287028920129508,0.364,0.156,0
"ACTR3",0,0.424480186887563,0.588,0.396,0
"GYPC",0,-0.455621802285473,0.388,0.479,0
"ZEB2",0,-0.66187775063511,0.459,0.582,0
"RND3",0,-0.727542954472955,0.565,0.693,0
"NR4A2",0,-1.16021903624454,0.238,0.502,0
"GALNT5",0,0.885055584052975,0.507,0.085,0
"CD302",0,-0.568576837057344,0.276,0.419,0
"FAP",0,1.52406046228408,0.798,0.355,0
"GORASP2",0,0.253993558459535,0.441,0.223,0
"CYBRD1",0,-1.21199065925934,0.468,0.714,0
"CHN1",0,0.414093737113061,0.375,0.118,0
"LINC01116",0,0.493483707770454,0.437,0.182,0
"NFE2L2",0,-0.825276768017375,0.411,0.6,0
"FKBP7",0,0.391713407733906,0.572,0.369,0
"ITGAV",0,0.536915338164397,0.597,0.377,0
"TFPI",0,-1.05805915811593,0.109,0.512,0
"COL3A1",0,1.82586590617612,0.999,0.958,0
"COL5A2",0,2.01056322015847,0.962,0.702,0
"SPATS2L",0,0.767646166780491,0.74,0.486,0
"AOX1",0,-0.607396762946708,0.032,0.264,0
"CLK1",0,-0.467337113754874,0.329,0.469,0
"CFLAR",0,-0.456224650080852,0.217,0.336,0
"NRP2",0,1.06370676760083,0.573,0.15,0
"FN1",0,2.88181756328249,0.956,0.673,0
"IGFBP5",0,-1.41590749802046,0.6,0.762,0
"ARPC2",0,0.557991368255814,0.757,0.649,0
"CHPF",0,0.889313264907469,0.613,0.283,0
"PID1",0,-0.618802390835316,0.073,0.301,0
"PTMA",0,-0.511204535689945,0.932,0.971,0
"EIF4E2",0,0.474240966945466,0.528,0.279,0
"ARL4C",0,1.06850274059026,0.625,0.241,0
"COL6A3",0,1.04428518643875,0.961,0.873,0
"LRRFIP1",0,0.277997019159154,0.477,0.288,0
"TWIST2",0,-0.461436566519396,0.383,0.527,0
"SNED1",0,-0.806444593947776,0.098,0.382,0
"HDLBP",0,0.720231096761007,0.757,0.595,0
"LRRN1",0,0.673320569640049,0.302,0.038,0
"SEC13",0,0.42106632542987,0.535,0.291,0
"RPL32",0,-0.441393490649759,0.971,0.989,0
"FBLN2",0,-1.04543253751351,0.667,0.821,0
"CSRNP1",0,-0.695505566285983,0.232,0.441,0
"EIF1B",0,-0.609971874961749,0.489,0.585,0
"RPL14",0,-0.356983873835145,0.923,0.965,0
"CTNNB1",0,0.502708928276129,0.588,0.393,0
"CLEC3B",0,-1.17461744481417,0.016,0.349,0
"SMARCC1",0,0.257762262098595,0.357,0.148,0
"RPL29",0,-0.339015203438943,0.924,0.966,0
"TWF2",0,0.251545295751484,0.447,0.259,0
"NT5DC2",0,0.922335067168461,0.522,0.117,0
"GLT8D1",0,0.350886658768446,0.556,0.35,0
"SELENOK",0,-0.463372312925181,0.571,0.624,0
"ARF4",0,0.552145626910816,0.769,0.681,0
"ARL6IP5",0,-0.578434449866276,0.67,0.781,0
"MITF",0,-0.451623175582322,0.132,0.295,0
"FOXP1",0,0.801386229356762,0.623,0.298,0
"GXYLT2",0,0.95458966232967,0.652,0.311,0
"PROS1",0,-0.779149667672814,0.182,0.443,0
"DCBLD2",0,0.259676680631696,0.32,0.135,0
"COL8A1",0,1.38444646498643,0.577,0.071,0
"TMEM45A",0,0.718207622357908,0.624,0.337,0
"ABI3BP",0,-0.949158125655031,0.472,0.63,0
"RPL24",0,-0.302730069368144,0.944,0.975,0
"NFKBIZ",0,-0.371948946793017,0.395,0.527,0
"CD47",0,-0.546122161201124,0.461,0.572,0
"CCDC80",0,-0.810011547844155,0.944,0.989,0
"ZBTB20",0,-0.892423099539193,0.562,0.747,0
"COX17",0,0.28156836157483,0.465,0.278,0
"PDIA5",0,0.257353141950179,0.388,0.183,0
"ITGB5",0,0.55178853710649,0.646,0.411,0
"SEC61A1",0,0.463666371494708,0.579,0.349,0
"CNBP",0,-0.54514621894757,0.538,0.638,0
"MRPL3",0,0.257136377808891,0.449,0.263,0
"SRPRB",0,0.439418202409479,0.479,0.217,0
"COPB2",0,0.311317279180882,0.5,0.303,0
"RNF7",0,0.433413892214437,0.635,0.473,0
"PLOD2",0,0.996357261549662,0.51,0.108,0
"PLSCR4",0,-0.650167234839644,0.191,0.408,0
"PLSCR1",0,-0.446761121926001,0.203,0.321,0
"AGTR1",0,-0.451406352970912,0.112,0.268,0
"CP",0,-0.859974162787947,0.017,0.27,0
"PFN2",0,0.441383998405754,0.42,0.161,0
"SSR3",0,0.942400591312846,0.746,0.499,0
"TIPARP",0,-0.636709503190329,0.153,0.347,0
"CCNL1",0,-1.180044477386,0.402,0.661,0
"SHOX2",0,0.271776411676227,0.408,0.205,0
"FNDC3B",0,0.344539950927731,0.597,0.429,0
"ZMAT3",0,0.299004052799952,0.369,0.16,0
"GNB4",0,0.336291506713215,0.443,0.213,0
"AP2M1",0,0.424142501020187,0.644,0.521,0
"EPHB3",0,0.336859224236499,0.345,0.111,0
"EIF4A2",0,-0.842394423817648,0.466,0.639,0
"HES1",0,-1.45414811573842,0.382,0.656,0
"LRRC15",0,1.15197957749729,0.624,0.195,0
"APOD",0,-4.17619625720843,0.138,0.82,0
"DLG1",0,0.50454227227988,0.412,0.15,0
"RPL35A",0,-0.491711287465733,0.95,0.983,0
"SPON2",0,1.40689320835585,0.798,0.456,0
"C4orf48",0,0.581025316929352,0.433,0.177,0
"MXD4",0,0.313506803867749,0.552,0.363,0
"MSX1",0,-0.854455488723257,0.202,0.433,0
"WDR1",0,0.278701040976038,0.429,0.218,0
"SLIT2",0,-0.643240163143981,0.185,0.337,0
"SOD3",0,-2.34265147976905,0.185,0.789,0
"RBPJ",0,-0.492543508349017,0.455,0.533,0
"FAM114A1",0,0.560618965659562,0.687,0.496,0
"RPL9",0,-0.548010155018726,0.867,0.94,0
"UCHL1",0,0.343444787994005,0.342,0.136,0
"PDGFRA",0,-0.555432778100459,0.481,0.571,0
"IGFBP7",0,-1.39994636757694,0.84,0.844,0
"CXCL3",0,-1.86624508135052,0.102,0.379,0
"CXCL2",0,-2.20109223485095,0.178,0.539,0
"CCNG2",0,-0.403224070572282,0.228,0.34,0
"SEC31A",0,0.570346496417311,0.7,0.531,0
"SPARCL1",0,0.747042442123701,0.658,0.423,0
"ADH1B",0,-2.03763638008362,0.009,0.473,0
"NFKB1",0,-0.552999097512008,0.237,0.356,0
"BDH2",0,-0.47714213189601,0.302,0.426,0
"RPL34",0,-0.484532205174267,0.97,0.993,0
"OSTC",0,1.10781246021144,0.846,0.656,0
"ANK2",0,-0.636498164846042,0.265,0.458,0
"SNHG8",0,-1.11662203563369,0.501,0.726,0
"SEC24D",0,0.397522162463444,0.524,0.281,0
"USP53",0,-0.827314703490536,0.123,0.395,0
"ANXA5",0,0.338407948649755,0.886,0.862,0
"SPRY1",0,-1.3270694038683,0.1,0.482,0
"SMAD1",0,0.278063787480776,0.289,0.082,0
"SFRP2",0,0.979825002777518,0.972,0.836,0
"GUCY1A1",0,0.585671988576569,0.519,0.201,0
"GUCY1B1",0,0.294518268921111,0.337,0.119,0
"PALLD",0,1.07990626076293,0.718,0.471,0
"TENM3",0,0.573663139014438,0.349,0.031,0
"DAP",0,0.290965997706661,0.502,0.291,0
"BASP1",0,0.430054659567041,0.722,0.55,0
"ADAMTS12",0,0.395707272176418,0.396,0.139,0
"C1QTNF3",0,0.952451445843628,0.581,0.254,0
"RAI14",0,0.430691785039692,0.421,0.166,0
"LIFR",0,-0.621499125268864,0.064,0.256,0
"RPL37",0,-0.390305569116517,0.955,0.986,0
"SELENOP",0,-2.35228715394539,0.236,0.853,0
"GPX8",0,0.910339629548345,0.729,0.442,0
"IL6ST",0,-1.09234646338255,0.421,0.688,0
"GPBP1",0,-0.462967929196124,0.423,0.517,0
"ADAMTS6",0,0.657857391630845,0.267,0.011,0
"PIK3R1",0,-0.894369717285453,0.409,0.575,0
"BTF3",0,-0.485284449414189,0.769,0.859,0
"THBS4",0,0.979741911229306,0.263,0.1,0
"SERINC5",0,0.478734251833882,0.371,0.092,0
"RPS23",0,-0.345824736744706,0.977,0.991,0
"TMEM167A",0,0.557078071283615,0.673,0.447,0
"VCAN",0,0.425069055252904,0.848,0.788,0
"EDIL3",0,1.472222707635,0.63,0.12,0
"CHD1",0,-0.765160852494522,0.234,0.416,0
"MAN2A1",0,0.370828976271285,0.399,0.15,0
"NREP",0,1.30106293713795,0.709,0.237,0
"EPB41L4A-AS1",0,-0.654160722009903,0.264,0.431,0
"LOX",0,0.427355426663168,0.763,0.595,0
"PPIC",0,0.793207320651047,0.892,0.696,0
"PRRC1",0,0.372672044112935,0.44,0.18,0
"P4HA2",0,0.867317088682499,0.687,0.353,0
"IRF1",0,-1.48291349963623,0.299,0.612,0
"UQCRQ",0,0.423245095829147,0.75,0.625,0
"VDAC1",0,0.391352280743707,0.576,0.388,0
"CXCL14",0,-2.68655705425703,0.671,0.921,0
"TGFBI",0,1.83746915519573,0.641,0.241,0
"EGR1",0,-0.565071228291098,0.59,0.739,0
"TMEM173",0,-0.463532462517734,0.132,0.281,0
"SRA1",0,0.524835485557662,0.482,0.21,0
"NR3C1",0,-0.743220221431919,0.32,0.518,0
"YIPF5",0,0.318323244870947,0.492,0.283,0
"PDGFRB",0,-0.47417631235528,0.579,0.673,0
"GPX3",0,-1.15434494578012,0.025,0.264,0
"SPARC",0,1.51361062533269,0.996,0.93,0
"ATOX1",0,0.967757000908986,0.775,0.512,0
"GALNT10",0,0.356155621789671,0.335,0.082,0
"SGCD",0,0.403543469981136,0.468,0.224,0
"EBF1",0,-0.788726370149617,0.26,0.484,0
"SLIT3",0,-0.982300091624484,0.509,0.65,0
"SH3PXD2B",0,0.457681449573992,0.483,0.211,0
"DUSP1",0,-0.596264896130541,0.754,0.855,0
"RPL26L1",0,0.315055567842903,0.435,0.222,0
"CREBRF",0,-0.476160140226507,0.229,0.371,0
"PDLIM7",0,0.924323806615281,0.551,0.168,0
"TMED9",0,0.569560946974513,0.666,0.476,0
"ADAMTS2",0,0.798827571349211,0.655,0.331,0
"SQSTM1",0,-0.560616609440936,0.655,0.743,0
"RACK1",0,-0.619290382845329,0.843,0.924,0
"PXDC1",0,-0.627503366223749,0.385,0.512,0
"SSR1",0,0.386462326570142,0.594,0.399,0
"TXNDC5",0,0.471105104601761,0.39,0.133,0
"MYLIP",0,-0.760954046026485,0.228,0.44,0
"ATXN1",0,0.276931513661483,0.457,0.254,0
"CASC15",0,0.315595999148313,0.255,0.034,0
"HLA-A",0,-0.802489614915573,0.724,0.867,0
"HLA-E",0,-1.01770344919605,0.557,0.728,0
"PPP1R10",0,-0.720541752919831,0.23,0.423,0
"IER3",0,-1.71666248383989,0.581,0.733,0
"HLA-C",0,-0.77900680856406,0.707,0.829,0
"HLA-B",0,-0.849118822989575,0.667,0.807,0
"DDAH2",0,-0.771059063538168,0.483,0.641,0
"HSPA1A",0,-1.00103936786536,0.775,0.845,0
"HSPA1B",0,-0.97928821470218,0.611,0.718,0
"C6orf48",0,-0.863317636798664,0.1,0.405,0
"TNXB",0,-1.71416826258288,0.102,0.592,0
"BRD2",0,-0.86877497437052,0.432,0.578,0
"UQCC2",0,0.422190792387571,0.471,0.227,0
"RPS10",0,-0.462066134043222,0.711,0.805,0
"RPL10A",0,-0.584448321965897,0.819,0.916,0
"SRSF3",0,-0.555171776566989,0.613,0.691,0
"CDKN1A",0,-1.27773934380844,0.279,0.567,0
"PI16",0,-2.21451155007261,0.046,0.497,0
"MDFI",0,0.352057868663376,0.322,0.078,0
"PTK7",0,0.733507637132447,0.553,0.217,0
"VEGFA",0,-0.58157621126983,0.273,0.409,0
"MRPL14",0,0.410599562325637,0.52,0.291,0
"SLC29A1",0,-0.516219248343065,0.061,0.266,0
"HSP90AB1",0,-0.970697593381214,0.839,0.895,0
"RUNX2",0,0.713600197506957,0.407,0.065,0
"BEND6",0,0.295326767872124,0.292,0.103,0
"EEF1A1",0,-0.480882526482561,0.989,0.998,0
"COL12A1",0,2.13592021524676,0.852,0.455,0
"COX7A2",0,0.563022443182786,0.775,0.671,0
"BCKDHB",0,0.544392859359926,0.295,0.109,0
"IBTK",0,0.320235036443957,0.408,0.175,0
"PGM3",0,0.395545884997899,0.47,0.226,0
"RARS2",0,0.255596682884068,0.396,0.204,0
"PNRC1",0,-1.6378581602626,0.621,0.848,0
"AMD1",0,-0.9104852983071,0.275,0.51,0
"GTF3C6",0,0.350227617084467,0.506,0.296,0
"REV3L",0,-0.932149905197045,0.368,0.566,0
"FAM229B",0,0.412118065013761,0.467,0.232,0
"LAMA4",0,-0.519468277213861,0.538,0.604,0
"MARCKS",0,1.23860338248819,0.923,0.787,0
"COL10A1",0,0.515157805903188,0.305,0.043,0
"GOPC",0,0.407681939958378,0.539,0.343,0
"GJA1",0,1.11161864955826,0.705,0.479,0
"NCOA7",0,-0.612226633980782,0.238,0.408,0
"IFNGR1",0,-0.468354651233265,0.325,0.433,0
"TNFAIP3",0,-0.954598271027222,0.223,0.397,0
"ABRACL",0,0.443921716765162,0.397,0.134,0
"SASH1",0,-0.588473371114196,0.298,0.427,0
"AKAP12",0,-0.545004959831365,0.338,0.456,0
"DYNLT1",0,0.626094347075465,0.615,0.361,0
"FNDC1",0,0.627007185307901,0.504,0.125,0
"SOD2",0,-2.05563247390989,0.433,0.737,0
"WTAP",0,-0.763990211368827,0.419,0.542,0
"SMOC2",0,-0.678283848133101,0.333,0.438,0
"LINC02544",0,0.520098047461198,0.3,0.049,0
"THBS2",0,0.869661437010983,0.824,0.641,0
"C7orf50",0,0.51750447438143,0.506,0.239,0
"TTYH3",0,0.635309431051791,0.444,0.104,0
"ACTB",0,0.649450397914345,0.963,0.953,0
"FSCN1",0,0.443167266173482,0.572,0.354,0
"KDELR2",0,0.912674297241582,0.848,0.651,0
"NDUFA4",0,0.472745622413983,0.845,0.794,0
"TSPAN13",0,0.882606728072207,0.511,0.127,0
"TWIST1",0,-0.876974841633918,0.541,0.654,0
"IL6",0,-1.4678558514371,0.035,0.286,0
"GPNMB",0,-0.799823168832524,0.599,0.752,0
"HNRNPA2B1",0,-0.47086966008733,0.781,0.832,0
"FKBP14",0,0.611323231766131,0.596,0.324,0
"GARS",0,0.381623607508969,0.4,0.208,0
"SFRP4",0,1.64248077192534,0.611,0.19,0
"RALA",0,0.414203625653268,0.583,0.405,0
"INHBA",0,0.81314130342075,0.462,0.129,0
"MRPS24",0,0.382019765259835,0.373,0.143,0
"AEBP1",0,0.893757600060547,0.913,0.794,0
"YKT6",0,0.289549627204212,0.344,0.12,0
"SEC61G",0,1.02263212849402,0.874,0.719,0
"EGFR",0,-0.537288716295685,0.251,0.384,0
"VOPP1",0,0.284131531530873,0.352,0.123,0
"SBDS",0,-0.531222966714747,0.534,0.636,0
"HSPB1",0,-1.18864873575028,0.689,0.834,0
"FGL2",0,-1.82563304274489,0.082,0.643,0
"PHTF2",0,0.303239096524489,0.337,0.116,0
"FZD1",0,0.490865560905545,0.463,0.175,0
"COL1A2",0,1.77000026915127,0.999,0.987,0
"PDK4",0,-1.05278240257101,0.015,0.291,0
"BRI3",0,0.406410456678896,0.759,0.659,0
"NPTX2",0,0.459443447688025,0.261,0.025,0
"ARPC1B",0,0.353011300147689,0.597,0.432,0
"PCOLCE",0,0.395626520736015,0.939,0.883,0
"LRRC17",0,0.812918960227528,0.493,0.193,0
"SYPL1",0,-0.452184709431522,0.335,0.435,0
"NAMPT",0,-1.63920494626266,0.249,0.582,0
"HBP1",0,-0.472316409616871,0.299,0.413,0
"LAMB1",0,0.308657617162445,0.558,0.35,0
"IFRD1",0,-0.801950762676077,0.288,0.512,0
"CAV1",0,-0.6290625588915,0.546,0.653,0
"IMPDH1",0,0.334957970376858,0.338,0.094,0
"CALU",0,0.889123337527013,0.804,0.623,0
"FLNC",0,0.292632542259674,0.309,0.09,0
"CALD1",0,1.01186500548565,0.939,0.889,0
"STMP1",0,0.429862830165501,0.614,0.414,0
"NDUFB2",0,0.4687789036057,0.747,0.643,0
"RARRES2",0,0.646706174646637,0.759,0.709,0
"TMEM176A",0,-0.468712649554755,0.43,0.544,0
"CHPF2",0,0.319712741395857,0.35,0.106,0
"INSIG1",0,-0.539389101696492,0.241,0.351,0
"CD99",0,0.393050644192986,0.925,0.909,0
"MXRA5",0,0.658965487973894,0.743,0.553,0
"PRDX4",0,1.23129470539334,0.876,0.624,0
"SRPX",0,-0.863750420865767,0.27,0.476,0
"DDX3X",0,-0.62693656114519,0.519,0.617,0
"RBM3",0,0.487374164336209,0.797,0.758,0
"MAGED1",0,0.650598444618295,0.618,0.325,0
"MAGED2",0,0.412730978818432,0.622,0.471,0
"RPS4X",0,-0.376276339540159,0.953,0.978,0
"COX7B",0,0.529997945584853,0.716,0.569,0
"ITM2A",0,-1.14639527841879,0.126,0.405,0
"SRPX2",0,0.363299975388241,0.368,0.137,0
"TSC22D3",0,-1.3458040410331,0.247,0.617,0
"CHRDL1",0,-0.89481852389426,0.032,0.308,0
"FHL1",0,-0.861393754744469,0.449,0.599,0
"LINC00632",0,0.433644718943919,0.402,0.158,0
